,loss
280,1.4206921150616836e-05
281,1.5066066225699615e-05
282,1.785002496035304e-05
283,2.376173870288767e-05
284,2.703205063880887e-05
285,1.9832397811114788e-05
286,1.5923744285828434e-05
287,1.6651647456455976e-05
288,1.6750729628256522e-05
289,1.8007382095674984e-05
290,2.480358125467319e-05
291,2.9689639632124454e-05
292,2.1372206902015023e-05
293,1.6107811461552046e-05
294,1.6436615624115802e-05
295,1.7451120584155433e-05
296,1.774853990355041e-05
297,1.7391916117048822e-05
298,1.673336919338908e-05
299,1.618809619685635e-05
300,1.5842111679376103e-05
301,1.568532934470568e-05
302,1.5665966202504933e-05
303,1.582735058036633e-05
304,1.6347346900147386e-05
305,1.7225174815393984e-05
306,1.8515405827201903e-05
307,2.110880086547695e-05
308,2.1697751435567625e-05
309,2.161501834052615e-05
310,3.138444299111143e-05
311,3.3078253181884065e-05
312,1.7358785044052638e-05
313,1.4074076716497075e-05
314,1.4368062693392858e-05
315,1.446918395231478e-05
316,1.4915754945832305e-05
317,1.5357150914496742e-05
318,1.5565934518235736e-05
319,1.515571875643218e-05
320,1.4440659469983075e-05
321,1.4477610420726705e-05
322,1.686153882474173e-05
323,2.231683538411744e-05
324,2.4442962967441417e-05
325,2.2422887923312373e-05
326,3.054621265619062e-05
327,2.8546533940243535e-05
328,1.5799709217390046e-05
329,1.3612376278615557e-05
330,1.3949903404864017e-05
331,1.3998102076584473e-05
332,1.4191475202096626e-05
333,1.4185450709192082e-05
334,1.4142258805804886e-05
335,1.4006057426740881e-05
336,1.4152037692838348e-05
337,1.5772311598993838e-05
338,2.2112591977929696e-05
339,3.108680903096683e-05
340,2.5219156668754295e-05
341,2.5368733986397274e-05
342,2.5554703825036995e-05
343,1.563924888614565e-05
344,1.3929928172728978e-05
345,1.4122404536465183e-05
346,1.4205079423845746e-05
347,1.4569332051905803e-05
348,1.5103390978765674e-05
349,1.5643750884919427e-05
350,1.587686529092025e-05
351,1.5789968529134057e-05
352,1.6371328456443734e-05
353,1.9312214135425165e-05
354,2.6177798645221628e-05
355,3.0547118512913585e-05
356,2.2474758225143887e-05
357,1.990233977267053e-05
358,1.832180714700371e-05
359,1.542836798762437e-05
360,1.4411076335818507e-05
361,1.4382477274921257e-05
362,1.4588250451197382e-05
363,1.4838125025562476e-05
364,1.5044261090224609e-05
365,1.5111922039068304e-05
366,1.4999091945355758e-05
367,1.4755750271433499e-05
368,1.4692949662276078e-05
369,1.5327603250625543e-05
370,1.660245834500529e-05
371,1.8170887415180914e-05
372,2.4420227418886498e-05
373,3.566823579603806e-05
374,3.1677369406679645e-05
375,2.1721380107919686e-05
376,1.4653530342911836e-05
377,1.2863380106864497e-05
378,1.2906235497212037e-05
379,1.3189264791435562e-05
380,1.3550066796597093e-05
381,1.4018449292052537e-05
382,1.454081848351052e-05
383,1.5048110981297214e-05
384,1.5358649761765264e-05
385,1.532155874883756e-05
386,1.4955593542254064e-05
387,1.4494410606857855e-05
388,1.4268453014665283e-05
389,1.4875337910780217e-05
390,1.8597342204884626e-05
391,3.2989028113661334e-05
392,4.680452911998145e-05
393,2.232147380709648e-05
394,1.2530643289210275e-05
395,1.2055984370817896e-05
396,1.1415903827582952e-05
397,1.1336444003973156e-05
398,1.1319310942781158e-05
399,1.1445826203271281e-05
400,1.1526624803082086e-05
401,1.1758163964259438e-05
402,1.2069053809682373e-05
403,1.2599516594491433e-05
404,1.3301847502589226e-05
405,1.4068474229134154e-05
406,1.4433170690608677e-05
407,1.4708605704072397e-05
408,1.5768349840072915e-05
409,1.96326454897644e-05
410,3.574998481781222e-05
411,3.361784547450952e-05
412,1.3839245184499305e-05
413,1.1082289347541519e-05
414,1.0714201380324084e-05
415,1.0576143722573761e-05
416,1.0560328519204631e-05
417,1.0712874427554198e-05
418,1.0884904440899845e-05
419,1.1212287972739432e-05
420,1.1671954780467786e-05
421,1.2381356100377161e-05
422,1.3575464436144102e-05
423,1.4202682905306574e-05
424,1.5100546079338528e-05
425,1.8276859918842092e-05
426,3.611054489738308e-05
427,3.266386192990467e-05
428,1.397228697896935e-05
429,1.0693209333112463e-05
430,1.0001294867834076e-05
431,9.885886356642004e-06
432,9.941652024281211e-06
433,1.0085097528644837e-05
434,1.0278370609739795e-05
435,1.0612723599479068e-05
436,1.131582848756807e-05
437,1.2908300959679764e-05
438,1.566396349517163e-05
